complaint_text,category
The loyalty program points deduction issue I raised was dismissed without investigation.,Service Issue
UI buttons are unresponsive and misaligned on mobile screen resolution.,Technical Issue
Unable to update my primary phone number and email address in account profile.,Account Issue
Customer care email address is bouncing back with mailbox quota exceeded. Awaiting your prompt reply and action.,Service Issue
Unable to merge my duplicate user profiles registered under the same email. No one is addressing this despite multiple attempts.,Account Issue
transfer gateway error: transaction was debited but vendor claims payment is unreceived. Please look into this as soon as possible.,Payment Issue
The tracking link shared via SMS leads to a broken 404 page.,Delivery Issue
Cashback and refund amount of Rs 4999 not credited back to my account. Awaiting your prompt reply and action.,Payment Issue
Video call feature drops connection every two minutes with codec error. This is unacceptable service and needs urgent escalation.,Technical Issue
Support executive gave conflicting instructions causing further confusion. Urgent attention required for this critical issue.,Service Issue
API endpoint /api/v1/data is throwing HTTP 502 Bad Gateway intermittently.,Technical Issue
Cannot download my generated PDF report due to server timeout error #11170. Awaiting your prompt reply and action.,Technical Issue
The replacement phone arrived with cosmetic damage from poor packaging. Kindly escalate this to senior management.,Delivery Issue
My loyalty points balance reset to zero after account migration. Kindly investigate and provide an update today.,Account Issue
Courier company marked fake delivery attempt stating wrong address provided. Kindly escalate this to senior management.,Delivery Issue
Cannot deactivate or delete my old account despite following instructions. Please fix this bug/issue as soon as possible.,Account Issue
The price listed on the invoice #68925 is higher than the product listing price. Please take necessary action to fix this.,Billing Issue
My written grievance letter sent via post was returned as undeliverable. Kindly investigate and provide an update today.,Service Issue
Dark pattern in settings made me accidentally close my account. I need an immediate resolution or refund.,Account Issue
The courier broke a fragile electronic item by placing heavy boxes on top. I am extremely disappointed with the handling of this matter.,Delivery Issue
Refund for cancelled order #19359 is not credited to my original payment method. Kindly escalate this to senior management.,Payment Issue
The application keeps crashing whenever I try to open the dashboard. No one is addressing this despite multiple attempts.,Technical Issue
Billed for delivery charges even though my order qualified for free shipping. Urgent attention required for this critical issue.,Billing Issue
Money was debited from my bank account via UPI but transaction shows failed.,Payment Issue
Rupay card transaction declined repeatedly even after bank confirmed no issues. No one is addressing this despite multiple attempts.,Payment Issue
I was charged an unexplained fee labelled miscellaneous charges on my statement. Please take necessary action to fix this.,Billing Issue
Wrong pin code was printed on the label despite correct address in order details. Very frustrating experience with this platform.,Delivery Issue
Real-time chat messages are not being delivered instantly.,Technical Issue
Filter dropdown is not functioning and freezes the browser tab. Very frustrating experience with this platform.,Technical Issue
Tax calculation on my invoice is erroneous and exceeds the standard GST percentage. Urgent attention required for this critical issue.,Billing Issue
The oversize item was refused delivery by the apartment security with no resolution. Very frustrating experience with this platform.,Delivery Issue
Subscription downgrade was requested but I am still being billed the enterprise rate.,Billing Issue
"Debit card OTP was submitted successfully, money deducted, yet payment marked as failed.",Payment Issue
The account dashboard is showing another user's personal information. This has happened multiple times this week.,Account Issue
Payment failed at the gateway checkout but amount was cut from my savings account. I am extremely disappointed with the handling of this matter.,Payment Issue
The app is stuck on the infinite loading spinner on the home screen.,Technical Issue
Live agent keeps transferring my call between departments without resolution. I need an immediate resolution or refund.,Service Issue
The courier agent delivered my parcel to the wrong address in another street. Please help resolve this immediately.,Delivery Issue
My linked payment method was removed from the account without my authorization. I expect a prompt resolution from the concerned department.,Account Issue
Tracking status has been stuck at 'In Transit' for over 10 consecutive days.,Delivery Issue
Email change request was submitted but confirmation not sent to new address. Kindly investigate and provide an update today.,Account Issue
Remote diagnostic tool used by support staff caused data loss on my device. Please look into this as soon as possible.,Service Issue
Bank shows payment successful but the utility company says dues are still pending.,Payment Issue
The invoice sent by support is different from the one in the app.,Billing Issue
The refund initiated 10 days back hasn't appeared in my bank statement yet. Urgent attention required for this critical issue.,Payment Issue
Data export function generates empty CSV files without content.,Technical Issue
Auto-debit triggered on my bank account for an order that was cancelled.,Payment Issue
Card payment gateway timeout caused double charging on the same invoice. Please help resolve this immediately.,Payment Issue
My subscription box for this month was never dispatched despite being deducted Please look into this as soon as possible.,Delivery Issue
The profile picture upload fails every time I try to change my avatar. No one is addressing this despite multiple attempts.,Account Issue
Subscription downgrade was requested but I am still being billed the enterprise rate. Awaiting your prompt reply and action.,Billing Issue
Money deducted from card but website displayed error code PAY_66822. Please fix this bug/issue as soon as possible.,Payment Issue
Profile section crashes whenever I attempt to save updated contact details. Please take necessary action to fix this.,Account Issue
Evening shift customer support provides completely different answers than morning shift.,Service Issue
I was billed for an additional service that I never opted in or subscribed for. I am extremely disappointed with the handling of this matter.,Billing Issue
I cannot add a second email address to my account as backup contact.,Account Issue
I requested a manager callback three days ago but have received no follow-up. I expect a prompt resolution from the concerned department.,Service Issue
Receipt shows wrong currency conversion rate leading to overcharge on my card. Awaiting your prompt reply and action.,Billing Issue
API endpoint /api/v1/data is throwing HTTP 502 Bad Gateway intermittently. No one is addressing this despite multiple attempts.,Technical Issue
Unable to merge my duplicate user profiles registered under the same email.,Account Issue
My linked payment method was removed from the user account without my authorization. Please fix this bug/issue as soon as possible.,Account Issue
Tracking status has been stuck at 'In Transit' for over 10 consecutive days. I have already sent multiple emails without response.,Delivery Issue
My transaction failed at checkout due to payment gateway error #62227. I am extremely disappointed with the handling of this matter.,Payment Issue
I was billed for an additional service that I never opted in or subscribed for.,Billing Issue
My account has been temporarily locked due to suspicious activity without warning. Very frustrating experience with this platform.,Account Issue
Annual plan was purchased but monthly charges continue to appear on statement.,Billing Issue
Screen recording feature produces corrupted video output files. Very frustrating experience with this platform.,Technical Issue
Repeated follow-ups on complaint #93203 have been met with canned automated replies. I have been facing this problem since yesterday.,Service Issue
My account was merged with a different user account without my permission. No one is addressing this despite multiple attempts.,Account Issue
Credit card charge went through successfully but order was marked as unpaid. Kindly escalate this to senior management.,Payment Issue
The app crashed when I was trying to complete my payment.,Technical Issue
Payme transfer of Rs 3500 shows pending on both sender and receiver ends.,Payment Issue
Customer service denied my claim citing a clause not present in my agreement. I have been facing this problem since yesterday.,Service Issue
Received the completely wrong product instead of the item I originally ordered. Please fix this bug/issue as soon as possible.,Delivery Issue
The profile picture upload fails every time I try to change my avatar. Awaiting your prompt reply and action.,Account Issue
transfer failed at the gateway checkout but amount was cut from my savings account. Kindly investigate and provide an update today.,Payment Issue
Amount Rs 1250 is deducted from account but checkout session expired.,Payment Issue
OTP verification code is not being received on my registered mobile number. Kindly investigate and provide an update today.,Account Issue
Service engineer arrived 4 hours late without prior notification. This has happened multiple times this week.,Service Issue
"I tried paying using Google Pay, amount deducted but payment status is still pending.",Payment Issue
My account has been temporarily locked due to suspicious activity without warning. Awaiting your prompt reply and action.,Account Issue
Support agent was rude when I asked them to transfer me to a senior executive.,Service Issue
My account shows an incorrect subscription tier despite paying for premium. Kindly investigate and provide an update today.,Account Issue
My minor child account was auto-upgraded to adult without parental consent. I have already sent multiple emails without response.,Account Issue
Two-way sync between desktop and mobile keeps reverting changes. I expect a prompt resolution from the concerned department.,Technical Issue
The checkout button is greyed out and unclickable despite filling all fields. Very frustrating experience with this platform.,Technical Issue
Estimated delivery date has been rescheduled 4 times without any explanation. Very frustrating experience with this platform.,Delivery Issue
Website displays internal server error 500 when navigating to the checkout screen. Very frustrating experience with this platform.,Technical Issue
The heavy furniture item was left in the lobby and not assembled as promised. I have been facing this problem since yesterday.,Delivery Issue
Session expires abruptly within 30 seconds of logging into the portal. Very frustrating experience with this platform.,Technical Issue
Extra charge of Rs 2499 added for expedited delivery that arrived late. I am extremely disappointed with the handling of this matter.,Billing Issue
Service quality has deteriorated significantly with unhelpful automated responses. I have already sent multiple emails without response.,Service Issue
The app freezes on the splash screen and never loads past the logo animation. Kindly look into this issue at the earliest.,Technical Issue
The app freezes on the splash screen and never loads past the logo animation. I need an immediate resolution or refund.,Technical Issue
Wrong pin code was printed on the label despite correct address in order details. Kindly escalate this to senior management.,Delivery Issue
Unable to switch between multiple business accounts linked to my master ID. Kindly escalate this to senior management.,Account Issue
I was billed for both the old and new plan during the same billing period. Looking forward to a quick resolution from your side.,Billing Issue
My order status says out for delivery for the past 48 hours with no courier contact.,Delivery Issue
Two-way sync between desktop and mobile keeps reverting changes. I need an immediate resolution or refund.,Technical Issue
My billing statement shows charges from your company that I did not authorize. I have been facing this problem since yesterday.,Billing Issue
Video call feature drops connection every two minutes with codec error. Urgent attention required for this critical issue.,Technical Issue
Cannot deactivate or delete my old profile despite following instructions. Awaiting your prompt reply and action.,Account Issue
The account dashboard is showing another user's personal information. I need an immediate resolution or refund.,Account Issue
Cancellation fee was wrongly deducted to my account after cancelling within free window. Please look into this as soon as possible.,Billing Issue
Poor customer assistance with no resolution provided after weeks of follow-up. I need an immediate resolution or refund.,Service Issue
parcel partner attempted parcel on a public holiday without prior notice. Awaiting your prompt reply and action.,Delivery Issue
Incorrect surge pricing added to my final invoice without notification. Please look into this as soon as possible.,Billing Issue
The heavy furniture item was left in the lobby and not assembled as promised. Please look into this as soon as possible.,Delivery Issue
Captcha on the user sign in page is constantly showing verification failed error. Please take necessary action to fix this.,Account Issue
Calendar widget fails to load available slots showing empty months. Urgent attention required for this critical issue.,Technical Issue
Net banking transaction timed out during payment verification step. Kindly escalate this to senior management.,Payment Issue
Terrible after-sales customer service with zero accountability for product defects.,Service Issue
Received phishing warning alert regarding compromised password on my user account Kindly look into this issue at the earliest.,Account Issue
Voice input feature fails to initialize audio stream on Android app. Kindly escalate this to senior management.,Technical Issue
Cannot deactivate or delete my old account despite following instructions. Looking forward to a quick resolution from your side.,Account Issue
The account dashboard is showing another user's personal information. Urgent attention required for this critical issue.,Account Issue
Package #58394 was returned to sender without my consent or any delivery attempt.,Delivery Issue
The delivery slot I selected was ignored and order delivery attempted at wrong time. Kindly escalate this to senior management.,Delivery Issue
Two accounts exist for the same PAN number causing conflicts in the system. Very frustrating experience with this platform.,Account Issue
My corporate billing profile is receiving invoices for a personal account charges. Please fix this bug/issue as soon as possible.,Billing Issue
Search bar on the web application is broken and returns no results for any query. I am extremely disappointed with the handling of this matter.,Technical Issue
Duplicate invoice generated for account #73462 resulting in duplicate bank charges.,Billing Issue
Card payment gateway timeout caused double charging on the same invoice.,Payment Issue
Service team failed to fix the same issue after 3 separate visits. Looking forward to a quick resolution from your side.,Service Issue
The account age verification keeps failing despite submitting valid documents. This has happened multiple times this week.,Account Issue
Support agent was rude when I asked them to transfer me to a senior executive. I expect a prompt resolution from the concerned department.,Service Issue
OTP verification code is not being received on my registered mobile number. I am extremely disappointed with the handling of this matter.,Account Issue
The pro-rated billing amount for partial month is incorrectly calculated. No one is addressing this despite multiple attempts.,Billing Issue
Courier service returned package citing address untraceable despite clear landmarks.,Delivery Issue
The AWB number for my shipment is not trackable on any courier website. I am extremely disappointed with the handling of this matter.,Delivery Issue
Shipment was dispatched to the wrong distribution hub in a different state. Please take necessary action to fix this.,Delivery Issue
Platform fee deducted from my seller payout without prior disclosure.,Billing Issue
Courier parcel executive claimed 'Customer not available' without attempting delivery or calling. I have already sent multiple emails without response.,Delivery Issue
I am unable to change my account username and security credentials. I have been facing this problem since yesterday.,Account Issue
Late payment fee charged even though I paid 5 days before the due date. Please fix this bug/issue as soon as possible.,Billing Issue
Auto-complete suggestion dropdown appears behind other page elements. I need an immediate resolution or refund.,Technical Issue
Registered email address has a typo and I cannot verify my new user account. Please fix this bug/issue as soon as possible.,Account Issue
Amount Rs 3500 is deducted from account but checkout session expired. Please fix this bug/issue as soon as possible.,Payment Issue
My international parcel is stuck in customs for 3 weeks with no update. I am extremely disappointed with the handling of this matter.,Delivery Issue
Double deduction occurred on my bank account for single transaction #62196.,Payment Issue
Child account access cannot be authorized from parent account dashboard.,Account Issue
Old tariff plan still being applied despite upgrading to new plan #86089.,Billing Issue
Refund for cancelled order #19120 is not credited to my original payment method. Please help resolve this immediately.,Payment Issue
I made an IMPS transfer but the beneficiary profile didn't receive the money. Looking forward to a quick resolution from your side.,Payment Issue
My order has not arrived yet even though the estimated delivery date was yesterday. This is unacceptable service and needs urgent escalation.,Delivery Issue
Invoice #60134 contains items that were out of stock and removed from my order. Awaiting your prompt reply and action.,Billing Issue
Helpdesk ticketing system keeps closing tickets automatically without resolution. I have been facing this problem since yesterday.,Service Issue
Parcel was left unattended outside my gate in the rain and got ruined. This is impacting my daily workflow severely.,Delivery Issue
Tracking status has been stuck at 'In Transit' for over 10 consecutive days. Please take necessary action to fix this.,Delivery Issue
Courier service returned package citing address untraceable despite clear landmarks. Looking forward to a quick resolution from your side.,Delivery Issue
The coupon code discount of 20% was omitted from my final generated invoice.,Billing Issue
Support agent was rude when I asked them to transfer me to a senior executive. This is impacting my daily workflow severely.,Service Issue
Registered email address has a typo and I cannot verify my new user user account This has happened multiple times this week.,Account Issue
My billing cycle date changed without notification causing mid-month deduction. No one is addressing this despite multiple attempts.,Billing Issue
The mobile app crashes immediately after I enter my login credentials. I have been facing this problem since yesterday.,Technical Issue
The refund initiated 10 days back hasn't appeared in my bank statement yet. Please help resolve this immediately.,Payment Issue
Incorrect surge pricing added to my final invoice without notification.,Billing Issue
Refund amount processed by seller is not reflecting in my linked bank account. Please fix this bug/issue as soon as possible.,Payment Issue
Delivery tracking page throws a server error when I load it.,Technical Issue
Support agent abruptly disconnected the live chat session while I was typing. This is unacceptable service and needs urgent escalation.,Service Issue
The payment failed message appeared but my bank balance reduced significantly. I expect a prompt resolution from the concerned department.,Payment Issue
Push notifications are not appearing even with all permissions granted. Please take necessary action to fix this.,Technical Issue
Email change request was submitted but confirmation not sent to new address. Kindly escalate this to senior management.,Account Issue
Amount Rs 3500 is deducted from account but checkout session expired. Kindly escalate this to senior management.,Payment Issue
Tax calculation on my invoice is erroneous and exceeds the standard GST percentage. I expect a prompt resolution from the concerned department.,Billing Issue
Delivery boy demanded delivery charges despite pre-paid order status.,Delivery Issue
Discount promo code was applied at checkout but billing statement billed full price without discount.,Billing Issue
The courier agent delivered my parcel to the wrong address in another street.,Delivery Issue
Cashback and reimbursement amount of Rs 10000 not credited back to my account.,Payment Issue
Invoice #28920 contains items that were out of stock and removed from my order. This is impacting my daily workflow severely.,Billing Issue
The complaint escalation matrix shared on website is completely non-functional. This is unacceptable service and needs urgent escalation.,Service Issue
Real-time chat messages are not being delivered instantly. Looking forward to a quick resolution from your side.,Technical Issue
The early termination fee on my account exceeds the contractual limit. Kindly look into this issue at the earliest.,Billing Issue
App crashes when switching between portrait and landscape orientation. I am extremely disappointed with the handling of this matter.,Technical Issue
Customer service denied my claim citing a clause not present in my agreement. I have already sent multiple emails without response.,Service Issue
Invoice #94803 contains items that were out of stock and removed from my order. I have already sent multiple emails without response.,Billing Issue
My grievance ticket #78463 was marked as resolved without any solution provided.,Service Issue
My billing receipt has incorrect company details and wrong GST number. Looking forward to a quick resolution from your side.,Billing Issue
QR code scanner within the app opens a black screen and crashes. I have already sent multiple emails without response.,Technical Issue
Voice input feature fails to initialize audio stream on Android app. I need an immediate resolution or refund.,Technical Issue
Executive refused to escalate my grievance to higher tier management. Please help resolve this immediately.,Service Issue
Cancellation fee was wrongly charged to my account after cancelling within free window. I have been facing this problem since yesterday.,Billing Issue
My card was charged twice for the exact same order billing statement,Billing Issue
Unable to switch between multiple business accounts linked to my master ID. This is unacceptable service and needs urgent escalation.,Account Issue
Form validation error appears even when all mandatory input fields are correctly filled. Very frustrating experience with this platform.,Technical Issue
Tracking app shows wrong location and customer care is unreachable.,Delivery Issue
The application crashes whenever a push notification arrives.,Technical Issue
The refund initiated 10 days back hasn't appeared in my bank statement yet. This is impacting my daily workflow severely.,Payment Issue
My international parcel is stuck in customs for 3 weeks with no update. Please look into this as soon as possible.,Delivery Issue
No response from support team regarding my critical issue escalated last week. I am extremely disappointed with the handling of this matter.,Service Issue
I cannot initiate a refund because the refund option is disabled for my order.,Payment Issue
Amount Rs 499 is deducted from account but checkout session expired. This has happened multiple times this week.,Payment Issue
I have been billed for equipment rental even though I returned the device. This is unacceptable service and needs urgent escalation.,Billing Issue
Two-factor authentication 2FA code generated by authenticator app is rejected as invalid.,Account Issue
App crashes when switching between portrait and landscape orientation. This is unacceptable service and needs urgent escalation.,Technical Issue
Billed for parcel charges even though my order qualified for free shipping. Kindly investigate and provide an update today.,Billing Issue
Cannot download my generated PDF report due to server timeout error #96305. Awaiting your prompt reply and action.,Technical Issue
order delivery address was updated before dispatch yet shipment was sent to old address. Very frustrating experience with this platform.,Delivery Issue
Discrepancy in billing: invoice total is Rs 10000 while order total was different. Looking forward to a quick resolution from your side.,Billing Issue
Discount promo code was applied at checkout but invoice billed full price without discount.,Billing Issue
Amount Rs 10000 is deducted from account but checkout session expired.,Payment Issue
Support portal rejects ticket creation and displays contact administrator message.,Service Issue
I was charged the international rate even though I was browsing from India. I need an immediate resolution or refund.,Billing Issue
I was not given any delivery OTP prompt and the item was handed to someone else. Kindly escalate this to senior management.,Delivery Issue
The discount applied at sales time is not reflected in the final tax invoice. This is impacting my daily workflow severely.,Billing Issue
I was given a replacement that is a lower model than my original defective product.,Service Issue
Double billing on my monthly recurring statement for invoice #77632.,Billing Issue
Delivery boy demanded delivery charges despite pre-paid order status. No one is addressing this despite multiple attempts.,Delivery Issue
Support portal rejects ticket creation and displays contact administrator message. I have already sent multiple emails without response.,Service Issue
The app crashes with an uncaught null pointer exception when editing profile. Looking forward to a quick resolution from your side.,Technical Issue
App crashes when switching between portrait and landscape orientation. This has happened multiple times this week.,Technical Issue
Agent promised refund but amount not credited to my payment account.,Payment Issue
UI buttons are unresponsive and misaligned on mobile screen resolution. No one is addressing this despite multiple attempts.,Technical Issue
Extra charge of Rs 2499 added for expedited delivery that arrived late. Looking forward to a quick resolution from your side.,Billing Issue
Dark mode toggle breaks the layout and causes overlapping text elements. Very frustrating experience with this platform.,Technical Issue
The support representative was extremely rude and unhelpful during our phone call. This has happened multiple times this week.,Service Issue
Rupay card payment declined repeatedly even after bank confirmed no issues.,Payment Issue
Notification badge is stuck showing 99+ unread messages that cannot be cleared. Kindly investigate and provide an update today.,Technical Issue
The application restarts automatically every time I navigate to the settings tab. Kindly look into this issue at the earliest.,Technical Issue
Wrong item was delivered and support is not responding.,Service Issue
The amount Rs 2499 was charged to my card but the transaction status shows incomplete.,Payment Issue
Service engineer arrived 4 hours late without prior notification.,Service Issue
I did not receive any acknowledgement or receipt for my successful UPI payment. I have been facing this problem since yesterday.,Payment Issue
The application keeps crashing whenever I try to open the dashboard. Kindly escalate this to senior management.,Technical Issue
Data export function generates empty CSV files without content. Very frustrating experience with this platform.,Technical Issue
The courier agent delivered my parcel to the wrong address in another street. Awaiting your prompt reply and action.,Delivery Issue
Two out of four ordered items were missing from an otherwise sealed carton. Kindly investigate and provide an update today.,Delivery Issue
Billed for delivery charges even though my order qualified for free shipping. I have already sent multiple emails without response.,Billing Issue
The support team promised a callback within 2 hours but called after 3 days.,Service Issue
My cold chain shipment arrived at room temperature and is unsafe to consume. This is unacceptable service and needs urgent escalation.,Delivery Issue
I was charged the international rate even though I was browsing from India. Kindly investigate and provide an update today.,Billing Issue
Service engineer arrived 4 hours late without prior notification. Very frustrating experience with this platform.,Service Issue
The discount applied at sales time is not reflected in the final tax invoice. This has happened multiple times this week.,Billing Issue
Delivery partner attempted delivery on a public holiday without prior notice.,Delivery Issue
Payment processing failed during merchant authorization but money left my account. Please fix this bug/issue as soon as possible.,Payment Issue
Auto-debit triggered on my bank account for an order that was cancelled. Please help resolve this immediately.,Payment Issue
Customer service denied my claim citing a clause not present in my agreement. Please help resolve this immediately.,Service Issue
App crashes whenever I check my billing history.,Technical Issue
Profile section crashes whenever I attempt to save updated contact details. Very frustrating experience with this platform.,Account Issue
Image upload fails with error code 413 payload too large for small photos. This has happened multiple times this week.,Technical Issue
Annual plan was purchased but monthly charges continue to appear on statement. Please look into this as soon as possible.,Billing Issue
Calendar widget fails to load available slots showing empty months. Please take necessary action to fix this.,Technical Issue
I am receiving a persistent JavaScript console error when clicking the submit button. I am extremely disappointed with the handling of this matter.,Technical Issue
Two-factor authentication 2FA code generated by authenticator app is rejected as invalid. Looking forward to a quick resolution from your side.,Account Issue
Support agent abruptly disconnected the live chat session while I was typing.,Service Issue
I paid the full amount but only half of the order was processed by the deduction system.,Payment Issue
My linked payment method was removed from the account without my authorization. Kindly investigate and provide an update today.,Account Issue
Payment was processed twice because the gateway page froze on the first attempt. Please help resolve this immediately.,Payment Issue
Voice input feature fails to initialize audio stream on Android app. Awaiting your prompt reply and action.,Technical Issue
Export to Excel button throws error 503 Service Unavailable.,Technical Issue
My written grievance letter sent via post was returned as undeliverable.,Service Issue
The deduction failed message appeared but my bank balance reduced significantly. Awaiting your prompt reply and action.,Payment Issue
Extra charge of Rs 499 added for expedited delivery that arrived late. This has happened multiple times this week.,Billing Issue
Cannot unlink old mobile number from my registered user profile. Very frustrating experience with this platform.,Account Issue
I received two conflicting invoices for a single subscription plan. Looking forward to a quick resolution from your side.,Billing Issue
Incorrect penalty fee added for data overage that did not actually occur. Kindly look into this issue at the earliest.,Billing Issue
Two separate bills generated for a single service period causing confusion. I have already sent multiple emails without response.,Billing Issue
Two separate bills generated for a single service period causing confusion.,Billing Issue
Search bar on the web application is broken and returns no results for any query.,Technical Issue
Cannot download my generated PDF report due to server timeout error #52534. No one is addressing this despite multiple attempts.,Technical Issue
I changed my registered email but still receiving OTP on the old email address. Please help resolve this immediately.,Account Issue
Helpdesk ticketing system keeps closing tickets automatically without resolution. This has happened multiple times this week.,Service Issue
Customer service representative provided inaccurate and misleading information. Please help resolve this immediately.,Service Issue
I received an empty box with packing material and no ordered goods inside.,Delivery Issue
My international parcel is stuck in customs for 3 weeks with no update. Please take necessary action to fix this.,Delivery Issue
The support team promised a callback within 2 hours but called after 3 days. I expect a prompt resolution from the concerned department.,Service Issue
Data synchronization between mobile app and web portal is failing constantly. Please fix this bug/issue as soon as possible.,Technical Issue
Dark mode toggle breaks the layout and causes overlapping text elements. This has happened multiple times this week.,Technical Issue
The application crashes on iOS version 17 when accessing camera permissions. I expect a prompt resolution from the concerned department.,Technical Issue
Logistics tracking shows delivered with a forged signature that is not mine. This is impacting my daily workflow severely.,Delivery Issue
The map integration on the delivery tracking page shows a blank tile. This has happened multiple times this week.,Technical Issue
I was placed in a feedback survey loop instead of being connected to support. This has happened multiple times this week.,Service Issue
Cannot complete mandatory two-step verification because SMS gateway is failing. Kindly investigate and provide an update today.,Account Issue
Email change request was submitted but confirmation not sent to new address. I have already sent multiple emails without response.,Account Issue
I did not receive any acknowledgement or receipt for my successful UPI payment. Kindly look into this issue at the earliest.,Payment Issue
Payment transfer failed halfway and my funds are currently stuck in escrow. Please fix this bug/issue as soon as possible.,Payment Issue
My corporate billing account is receiving invoices for a personal account charges. I have been facing this problem since yesterday.,Billing Issue
App crashes when switching between portrait and landscape orientation. This is impacting my daily workflow severely.,Technical Issue
Cashback and refund amount of Rs 2499 not credited back to my account Kindly escalate this to senior management.,Payment Issue
Poor customer assistance with no resolution provided after weeks of follow-up.,Service Issue
Screen recording feature produces corrupted video output files.,Technical Issue
Wallet balance deducted but transaction failed at the last step of checkout.,Payment Issue
Account verification email is going to spam folder and verification link is broken. No one is addressing this despite multiple attempts.,Account Issue
The courier agent delivered my parcel to the wrong address in another street. This has happened multiple times this week.,Delivery Issue
Helpdesk ticketing system keeps closing tickets automatically without resolution.,Service Issue
I was placed in a feedback survey loop instead of being connected to customer service Very frustrating experience with this platform.,Service Issue
Cannot unlink old mobile number from my registered user profile. Kindly escalate this to senior management.,Account Issue
The AWB number for my shipment is not trackable on any courier website. This has happened multiple times this week.,Delivery Issue
Encountering database connection error during search query execution. This is unacceptable service and needs urgent escalation.,Technical Issue
Billing department did not adjust the credit note on my current statement.,Billing Issue
Child account access cannot be authorized from parent account dashboard. I need an immediate resolution or refund.,Account Issue
The price listed on the invoice #19694 is higher than the product listing price. No one is addressing this despite multiple attempts.,Billing Issue
The app is stuck on the infinite loading spinner on the home screen. This is impacting my daily workflow severely.,Technical Issue
I received an empty box with packing material and no ordered goods inside. Urgent attention required for this critical issue.,Delivery Issue
I haven't received confirmation for the insurance premium payment I made online.,Payment Issue
Initiated refund for transaction #65723 is still pending after two weeks.,Payment Issue
Order delivered to an unknown neighbor without contacting me for an OTP.,Delivery Issue
The application crashes on iOS version 17 when accessing camera permissions. I need an immediate resolution or refund.,Technical Issue
The support team promised a callback within 2 hours but called after 3 days. Very frustrating experience with this platform.,Service Issue
The account shows logged in from multiple devices I don't own.,Account Issue
Incorrect penalty fee added for data overage that did not actually occur.,Billing Issue
Delivery was scheduled for morning slot but arrived at 11 PM at night. Very frustrating experience with this platform.,Delivery Issue
Voice input feature fails to initialize audio stream on Android app. Looking forward to a quick resolution from your side.,Technical Issue
Discrepancy in billing: invoice total is Rs 4999 while order total was different. I need an immediate resolution or refund.,Billing Issue
Discount promo code was applied at checkout but invoice billed full price without discount. Looking forward to a quick resolution from your side.,Billing Issue
The PWA does not install correctly on Android Chrome browser. Looking forward to a quick resolution from your side.,Technical Issue
Service team failed to fix the same issue after 3 separate visits. This is impacting my daily workflow severely.,Service Issue
Estimated delivery date has been rescheduled 4 times without any explanation. Urgent attention required for this critical issue.,Delivery Issue
Rupay card payment declined repeatedly even after bank confirmed no issues. Please take necessary action to fix this.,Payment Issue
Refund amount processed by seller is not reflecting in my linked bank account.,Payment Issue
